component_failed,failure_timestamp,operating_hours_at_failure
def_system,2012-02,2907
auger_unloading_system,2012-03,3036
cooling_system,2012-05,3375
electrical_system,2012-05,3388
chassis_structural,2013-01,4697
engine_system,2013-01,4706
processing_cleaning_system,2013-08,5697
fuel_system,2014-01,6435
sensor_vision_system,2014-03,6882
transmission_drive_system,2014-09,7747
auger_unloading_system,2014-11,8139
electrical_system,2014-12,8284
air_system,2014-12,8342
hydraulic_system,2015-04,8869
def_system,2015-12,10147
processing_cleaning_system,2016-03,10566
auger_unloading_system,2016-05,10884
transmission_drive_system,2017-06,12830
cooling_system,2017-08,13115
engine_system,2017-11,13594
chassis_structural,2018-01,13816
sensor_vision_system,2018-03,14109
air_system,2018-07,14855
fuel_system,2018-11,15443
processing_cleaning_system,2019-02,15991
cooling_system,2019-03,16193
def_system,2019-04,16328
auger_unloading_system,2019-09,17099
electrical_system,2020-01,17602
