component_failed,failure_timestamp,operating_hours_at_failure
fuel_system,2011-09-0,2228.9
def_system,2012-06-2,3683.6
auger_unloading_system,2013-05-0,5141.6
electrical_system,2013-08-1,5650.1
processing_cleaning_system,2013-10-2,5963.6
cooling_system,2014-02-1,6496.0
sensor_vision_system,2014-04-2,6810.5
air_system,2014-07-1,7150.1
transmission_drive_system,2015-06-2,8862.8
def_system,2015-07-1,8952.7
engine_system,2015-08-2,9174.5
fuel_system,2015-11-1,9646.9
processing_cleaning_system,2016-06-1,10629.6
auger_unloading_system,2016-06-2,10666.1
chassis_structural,2017-01-0,11629.1
electrical_system,2017-03-1,11904.6
sensor_vision_system,2017-08-1,12708.6
cooling_system,2018-04-0,13959.9
hydraulic_system,2018-05-0,14082.8
def_system,2019-01-0,15176.6
transmission_drive_system,2019-01-1,15219.2
air_system,2019-06-1,15993.3
processing_cleaning_system,2019-07-3,16238.4
auger_unloading_system,2019-10-3,16695.4
